label,message
spam,Win money now
ham,How are you
spam,Claim your free prize
ham,Let's meet tomorrow
spam,Limited offer click now
ham,Call me later
spam,Congratulations you won lottery
ham,Are you coming to class
spam,Free recharge available
ham,Good morning
spam,Exclusive deal just for you
ham,Please submit the assignment
spam,You have won cash prize
ham,See you in the meeting
spam,Click here to get reward
ham,Happy birthday
spam,Urgent! Your account is selected
ham,Can we talk now?
spam,Get free coupons today
ham,Lunch at 2 PM
spam,You are selected for a free gift
ham,Project submission completed
spam,Earn money from home
ham,Where are you now?
spam,Congratulations! Claim your reward
ham,Let's study together
spam,Free entry in contest
ham,Meeting starts at 10 AM
spam,Special discount available now
ham,Good night
